Severity level,Food name,Description,Management,Mechanism,References,drug_id
2,alcohol,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,Synergy,,DDInter1010
No matching records,,,,,,DDInter1011
No matching records,,,,,,DDInter1012
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1013
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of central nervous system (CNS)-active agents.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potential...More",Synergy,,DDInter1014
No matching records,,,,,,DDInter1015
No matching records,,,,,,DDInter1016
No matching records,,,,,,DDInter1017
No matching records,,,,,,DDInter1018
No matching records,,,,,,DDInter1019
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1020
2,food,"Due to their gastrointestinal pharmacologic effects, somatostatin analogs (e.g., octreotide, lanreotide) may variously affect the absorption of dietary nutrients and concomitantly administered oral medications.  Somatostatin analogs have been shown to prolong gastrointestinal transit time and inhibit intestinal absorption of some nutrients such as fat.",Clinicians should be aware of the potential for altered absorption of concomitantly administered oral medications during treatment with somatostatin analogs.  Blood levels and clinical response should...More,Absorption,,DDInter1021
No matching records,,,,,,DDInter1022
2,food,"Lanthanum carbonate should be administered with food for therapeutic efficacy.  However, it is insoluble in water (<0.01 mg/mL at pH 7.5) and therefore cannot be dissolved in liquid for administration through an enteral feeding tube, because it may result in blockage of the tube.",Administration of lanthanum carbonate with enteral feedings is not recommended.  Alternative medications such as calcium carbonate suspension should be considered.,Synergy,,DDInter1023
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of lapatinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,Patients treated with lapatinib should preferably avoid the consumption of grapefruit or grapefruit juice.  The manufacturer recommends that lapatinib be administered at least one hour before or one h...More,Metabolism,,DDInter1024
No matching records,,,,,,DDInter1025
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of larotrectinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated metabolism of larotrectinib by certain compounds present in grapefruit.,Larotrectinib may be taken with or without food.  Patients should avoid the consumption of grapefruit and grapefruit juice during treatment.,Metabolism,,DDInter1026
No matching records,,,,,,DDInter1027
No matching records,,,,,,DDInter1028
No matching records,,,,,,DDInter1029
No matching records,,,,,,DDInter1030
No matching records,,,,,,DDInter1031
2,high-fat foods,"Food may reduce the oral bioavailability of lefamulin.  When a single 600 mg oral dose of lefamulin was administered with a high-calorie, high-fat breakfast (800 to 1000 calories; approximately 50% from fat), lefamulin peak plasma concentration (Cmax) and systemic exposure (AUC) decreased by approximately 23% and 18%, respectively.",Lefamulin tablets should be taken at least one hour before or two hours after a meal.  Patients should preferably avoid or limit the consumption of grapefruit and grapefruit juice during treatment wit...More,Absorption,,DDInter1032
2,grapefruit juice,Food may reduce the oral bioavailability of lefamulin.,Lefamulin tablets should be taken at least one hour before or two hours after a meal.  Patients should preferably avoid or limit the consumption of grapefruit and grapefruit juice during treatment wit...More,Metabolism,,DDInter1032
2,alcohol,The consumption of alcohol during therapy with leflunomide may potentiate the risk of liver injury.,Patients should be advised to avoid excessive alcohol use during leflunomide treatment.,Synergy,,DDInter1033
3,alcohol,"Alcohol may increase the plasma concentrations and potentiate some of the pharmacologic effects of the central nervous system (CNS)-active agent, lemborexant.  Coadministration with alcohol increased the peak plasma concentration (Cmax) and systemic exposure (AUC) of lemborexant by 35% and 70%, respectively; however, the mechanism of the interaction has not been established.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","According to the manufacturer, due to their potentially additive effects, the concomitant use of lemborexant with alcohol should be avoided.  Patients should be advised to avoid consumption of alcohol...More",Synergy,,DDInter1034
3,grapefruit juice,"Grapefruit juice may increase the plasma concentrations of lemborexant, which is primarily metabolized by CYP450 3A4.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP450 3A4 may also contribute.  The interaction has not been studied with grapefruit juice but has been reported for other CYP450 3A4 inhibitors.","The manufacturer makes no recommendation regarding administration with food; however, the time to sleep onset may be delayed if taken with or soon after a meal.  Patients should avoid consumption of g...More",Metabolism,,DDInter1034
No matching records,,,,,,DDInter1035
No matching records,,,,,,DDInter1036
No matching records,,,,,,DDInter1037
No matching records,,,,,,DDInter1038
No matching records,,,,,,DDInter1039
No matching records,,,,,,DDInter1040
No matching records,,,,,,DDInter1041
No matching records,,,,,,DDInter1042
No matching records,,,,,,DDInter1043
2,alcohol,"Case histories have suggested that levamisole is associated with some side effects (including headache, fever, shivers, and dizziness) that suggest an disulfiram-like interaction with alcohol.  These side effects could be alleviated by total abstinence from alcohol.  No mechanism has been established for this interaction.",Patients receiving levamisole should avoid alcohol.,Metabolism,,DDInter1044
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1045
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1046
No matching records,,,,,,DDInter1047
No matching records,,,,,,DDInter1048
No matching records,,,,,,DDInter1049
No matching records,,,,,,DDInter1050
No matching records,,,,,,DDInter1051
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1053
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of levodopa.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","In general, alcohol consumption should be avoided or limited during treatment with CNS-depressant agents.  Until more data are available, it is advisable to avoid large fluctuations in daily protein i...More",Synergy,,DDInter1054
2,food,"Food may reduce the oral absorption and bioavailability of levofloxacin.  According to the drug product labeling, administration of levofloxacin 500 mg with food prolonged the time to peak concentration by 1 hour and decreased the Cmax decreased by 25% following administration of the oral solution and by 14% following administration of the oral tablet.","To ensure maximal and consistent oral absorption, levofloxacin oral solution should be taken at least one hour before or two hours after meals.  For administration of the oral solution with continuous...More",Absorption,,DDInter1055
No matching records,,,,,,DDInter1056
No matching records,,,,,,DDInter1057
No matching records,,,,,,DDInter1058
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1059
No matching records,,,,,,DDInter1060
1,alcohol,"The central nervous system effects and blood levels of ethanol may be increased in patients taking oral contraceptives, although data are lacking and reports are contradictory.  The mechanism may be due to enzyme inhibition.",Consider counseling women about this interaction which is unpredictable.,Metabolism,,DDInter1061
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP4...More,Metabolism,,DDInter1061
2,alcohol,"Ethanol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.",Concomitant use of opioid analgesics with ethanol should be avoided.,Synergy,,DDInter1062
No matching records,,,,,,DDInter1063
2,dietary fiber,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.",Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods th...More,Absorption,,DDInter1064
2,soybean,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.",Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods th...More,Absorption,,DDInter1064
No matching records,,,,,,DDInter1065
No matching records,,,,,,DDInter1066
No matching records,,,,,,DDInter1067
No matching records,,,,,,DDInter1068
2,food,"Administration of linaclotide in the fed condition resulted in more gastrointestinal side effects and more frequent and looser stools, than when it was administered under fasting conditions.",It is recommended to take linaclotide 30 minutes before a meal.,Synergy,,DDInter1069
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1070
No matching records,,,,,,DDInter1071
No matching records,,,,,,DDInter1072
3,Tyrosine-rich foods,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase inhibitors (MAOIs).  The mechanism is inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.","In general, patients treated with MAOIs or other agents that possess MAOI activity (e.g., furazolidone, linezolid, procarbazine) should avoid consumption of products that contain large amounts of amin...More",Synergy,,DDInter1073
No matching records,,,,,,DDInter1074
2,soybean,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.",Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods th...More,Absorption,,DDInter1075
2,cotton seed,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.",Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods th...More,Absorption,,DDInter1075
2,walnuts,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.",Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods th...More,Absorption,,DDInter1075
2,dietary fiber,"Consumption of certain foods as well as the timing of meals relative to dosing may affect the absorption of T4 thyroid hormone (i.e., levothyroxine).  T4 absorption is increased by fasting and decreased by foods such as soybean flour (e.g., infant formula), cotton seed meal, walnuts, dietary fiber, calcium, and calcium fortified juices.",Preparations containing T4 thyroid hormone should be administered on a consistent schedule with regard to time of day and relation to meals so as to avoid large fluctuations in serum levels.  Foods th...More,Absorption,,DDInter1075
No matching records,,,,,,DDInter1076
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1077
2,alcohol,Alcohol may potentiate the cardiovascular effects of amphetamines.  The exact mechanism of interaction is unknown.,"Concomitant use of amphetamines and alcohol should be avoided if possible, especially in patients with a history of heart disease.",Synergy,,DDInter1078
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1079
2,Food High in Potassium,"Moderate-to-high dietary intake of potassium can cause hyperkalemia in some patients who are using angiotensin converting enzyme (ACE) inhibitors.  In some cases, affected patients were using a potassium-rich salt substitute.  ACE inhibitors can promote hyperkalemia through inhibition of the renin-aldosterone-angiotensin (RAA) system.",It is recommended that patients who are taking ACE inhibitors be advised to avoid moderately high or high potassium dietary intake.  Particular attention should be paid to the potassium content of sal...More,Synergy,,DDInter1079
No matching records,,,,,,DDInter1080
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1081
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1082
2,food,"Lixisenatide slows gastric emptying, which may impact the absorption of concomitantly administered oral medications.  The interaction has been studied with various medications, which demonstrated primarily an effect on the rate rather than the overall extent of absorption.",Caution is advised during concomitant use of lixisenatide with oral medications that have a narrow therapeutic index or that require careful clinical monitoring.  These medications should be administe...More,Absorption,,DDInter1082
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1083
No matching records,,,,,,DDInter1084
3,food,"Administration of lomitapide with food may increase the risk of common gastrointestinal adverse reactions such as diarrhea, nausea, vomiting, dyspepsia, abdominal pain or discomfort, abdominal distension, constipation, and flatulence.  Absorption of concomitant oral medications may be affected in patients who develop diarrhea or vomiting.","Lomitapide should be taken once daily with a glass of water, without food, at least 2 hours after the evening meal.  Strict adherence to a low-fat diet (<20% of total calories from fat) and gradual do...More",Absorption,,DDInter1085
No matching records,,,,,,DDInter1086
3,grapefruit juice,"Grapefruit juice may increase the plasma concentrations of lonafarnib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP450 3A4 may also contribute.  The interaction has not been studied with grapefruit juice, but has been reported for other CYP450 3A4 inhibitors.",Lonafarnib should be administered with the morning and evening meals and an adequate amount of water.  Patients should avoid consumption of grapefruit or grapefruit juice and Seville oranges (also kno...More,Metabolism,,DDInter1087
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1088
No matching records,,,,,,DDInter1089
2,food,Loracarbef may exhibit reduced gastrointestinal absorption in the presence of food.,Loracarbef should be administered at least one hour before or two hours after eating.,Absorption,,DDInter1090
1,grapefruit juice,"Theoretically, grapefruit juice may increase the plasma concentrations of loratadine as it does other drugs that are substrates of the CYP450 3A4 enzymatic pathway.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.","The clinical significance of this potential interaction is unknown.  Reported interactions with potent CYP450 3A4 inhibitors like clarithromycin, erythromycin and ketoconazole have produced substantia...More",Metabolism,,DDInter1091
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1092
1,food,"Food does not appear to significantly affect the absorption and oral bioavailability of lurasidone.  In twelve adult volunteers (6 men and 6 women), administration of a single 10 mg oral dose of lorcaserin following a high-fat (approximately 50% of total caloric content of the meal) and high-calorie (approximately 800 to 1000 calories) meal resulted in less than 10% increases in lorcaserin peak plasma concentration (Cmax) and systemic exposure (AUC) compared to administration in the fasted state.  The time to reach peak concentration (Tmax) was delayed by approximately 1 hour in the fed state.",Lorcaserin may be administered with or without food.,Absorption,,DDInter1093
3,grapefruit juice,"Grapefruit and grapefruit juice may significantly increase the plasma concentrations of lorlatinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall induced by certain compounds present in grapefruit.  Because grapefruit juice inhibits primarily intestinal rather than hepatic CYP450 3A4, the magnitude of interaction is greatest for those drugs that undergo significant presystemic metabolism by CYP450 3A4 (i.e., drugs with low oral bioavailability).  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.","Patients treated with lorlatinib should avoid consumption of grapefruit, grapefruit juice, and any supplement containing grapefruit extract.  If coadministration is unavoidable, some authorities recom...More",Metabolism,,DDInter1094
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1095
2,Food High in Potassium,"Moderate-to-high dietary intake of potassium, especially salt substitutes, may increase the risk of hyperkalemia in some patients who are using angiotensin II receptor blockers (ARBs).  ARBs can promote hyperkalemia through inhibition of angiotensin II-induced aldosterone secretion.  Patients with diabetes, heart failure, dehydration, or renal insufficiency have a greater risk of developing hyperkalemia.",Patients who regularly consume grapefruits and grapefruit juice should be monitored for altered efficacy of losartan.  Grapefruits and grapefruit juice should be avoided if an interaction is suspected...More,Synergy,,DDInter1095
No matching records,,,,,,DDInter1096
No matching records,,,,,,DDInter1097
2,alcohol,"Concomitant use of statin medication with substantial quantities of alcohol may increase the risk of hepatic injury.  Transient increases in serum transaminases have been reported with statin use and while these increases generally resolve or improve with continued therapy or a brief interruption in therapy, there have been rare postmarketing reports of fatal and non-fatal hepatic failure in patients taking statins.  Patients who consume substantial quantities of alcohol and/or have a history of liver disease may be at increased risk for hepatic injury.  Active liver disease or unexplained transaminase elevations are contraindications to statin use.",Patients should be counseled to avoid substantial quantities of alcohol in combination with statin medications and clinicians should be aware of the increased risk for hepatotoxicity in these patients...More,Synergy,,DDInter1098
3,grapefruit juice,Coadministration with grapefruit juice may significantly increase the plasma concentrations of lovastatin and simvastatin and their active acid metabolites.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,"Patients receiving therapy with lovastatin, simvastatin, or red yeast rice (which contains lovastatin) should be advised to avoid the consumption of grapefruit and grapefruit juice.  Fluvastatin, prav...More",Metabolism,,DDInter1098
3,green tea,Coadministration with grapefruit juice may significantly increase the plasma concentrations of lovastatin and simvastatin and their active acid metabolites.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Caution may be advisable when coadministered with green tea or green tea extracts.  Dosing reduction of the statin and/or limiting consumption of green tea and green tea products may be required if an...More,Metabolism,,DDInter1098
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1099
No matching records,,,,,,DDInter1100
No matching records,,,,,,DDInter1101
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of central nervous system (CNS)-active agents.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potential...More",Synergy,,DDInter1102
2,grapefruit juice,Grapefruit and grapefruit juice may increase the plasma concentrations of lumateperone.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP,Lumateperone should be administered with food.  Coadministration of grapefruit or grapefruit juice with lumateperone should be avoided.,Metabolism,,DDInter1102
No matching records,,,,,,DDInter1103
3,grapefruit juice,Grapefruit juice may significantly increase the plasma concentrations of lurasidone.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients treated with lurasidone should avoid consumption of grapefruit and grapefruit juice as well as alcohol.  Lurasidone should be taken with food (at least 350 calories).,Metabolism,,DDInter1104
2,grapefruit juice,"Coadministration with inhibitors of CYP450 3A4 such as grapefruit juice may increase the plasma concentrations of lurbinectedin, which may increase the incidence and severity of adverse reactions, such as myelosuppression and hepatotoxicity.",The manufacturer recommends avoiding eating or drinking grapefruit or products that contain grapefruit juice during treatment with lurbenectedin.,Metabolism,,DDInter1105
No matching records,,,,,,DDInter1106
