Severity level,Disease name,Text,References,drug_id
2,Inflammatory Bowel Diseases,"Crohn's disease and ulcerative colitis, including exacerbations have occurred during ixekizumab treatment.  Caution and close monitoring for onset or exacerbation of inflammatory bowel disease are rec...More",,DDInter1003
2,Tuberculosis,Patients should be evaluated for tuberculosis (TB) infection prior to ixekizumab treatment.  It is recommended to initiate treatment of latent TB prior to administering ixekizumab and to consider anti...More,,DDInter1003
1,Liver Diseases,No formal clinical studies of the effect of hepatic or renal impairment on the pharmacokinetics of ixekizumab have been conducted.  Care should be taken when prescribing this drug to these patients.,,DDInter1003
3,Dehydration,Adequate hydration is crucial to minimize the risk of oto- and nephrotoxicity associated with the use of aminoglycosides.  Dehydration should preferably be corrected prior to initiation of therapy.  I...More,,DDInter1004
3,Neuromuscular Diseases,"Aminoglycosides can cause dose-related neuromuscular blockade and muscle weakness, particularly in patients with neuromuscular disease or hypocalcemia and in patients receiving general anesthetics, ne...More",,DDInter1004
3,Ototoxicity,"Aminoglycosides can cause eighth cranial nerve damage, resulting in vestibular and/or auditory toxicities.  Symptoms include dizziness, nystagmus, vertigo, ataxia, tinnitus, and varying degrees of hea...More",,DDInter1004
3,Kidney Diseases,"Aminoglycosides are potentially oto- and nephrotoxic.  Eighth cranial nerve damage may manifest as vestibular and/or auditory toxicities, including dizziness, nystagmus, vertigo, ataxia, tinnitus, and...More",,DDInter1004
3,Intestinal Obstruction,The use of oral aminoglycosides is contraindicated in patients with intestinal obstruction.  Orally administered aminoglycosides are poorly absorbed from the gastrointestinal tract and primarily elimi...More,,DDInter1004
3,Colitis,"Clostridioides difficile-associated diarrhea (CDAD), formerly pseudomembranous colitis, has been reported with almost all antibacterial drugs and may range from mild diarrhea to fatal colitis.  The mo...More",,DDInter1004
3,Intestinal Obstruction,The use of kaolin is contraindicated in patients with intestinal obstruction.,,DDInter1005
2,Fever,"Patients with diarrhea and fever should be seen by a physician.  The potential for the diarrhea to be associated with ulcerative colitis, Crohn's disease, or amebiasis is increased in these patients.",,DDInter1005
No matching records,,,,DDInter1006
3,Hypertension,The use of ketamine is contraindicated in patients whom a significant elevation of blood pressure would constitute a serious hazard.  It is recommended to monitor cardiac function continually during a...More,,DDInter1007
2,Alcoholism,Ketamine should be used with caution in the chronic alcoholic and the acutely alcohol-intoxicated patient.,,DDInter1007
3,Liver Diseases,Serious hepatotoxicity including cases with a fatal outcome or requiring liver transplant have been reported.  Some patients had no obvious risk factors for liver disease.  Liver function tests should...More,,DDInter1008
2,Long QT Syndrome,Some azole antifungals have been associated with prolongation of the QT interval on the ECG.  Rare cases of QT prolongation and torsade de pointes have been reported during postmarketing experience; s...More,,DDInter1008
2,Achlorhydria,"Nizoral (brand of ketoconazole) tablets require acidity for proper dissolution and absorption.  Therefore, the drug may not be effective in patients with achlorhydria.  Taking the medication with an a...More",,DDInter1008
2,Adrenal Insufficiency,Ketoconazole tablets decrease adrenal corticosteroid secretion at doses of 400 mg and higher.  Adrenal function should be monitored in patients with adrenal insufficiency or with borderline adrenal fu...More,,DDInter1008
3,Asthma,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are contraindicated in patients with history of asthma, urticaria, or other allergic-type reactions after taking aspirin or other NSAIDs; severe, sometime...More",,DDInter1009
3,Water-Electrolyte Imbalance,Fluid retention and edema have been reported in association with the use of nonsteroidal anti-inflammatory drugs (NSAIDs).  Therapy with NSAIDs should be administered cautiously in patients with preex...More,,DDInter1009
3,Peptic Ulcer,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious gastrointestinal (GI) adverse events including inflammation, bleeding, ulceration, and perforation of the esophagus, stomach, small inte...More",,DDInter1009
3,Exanthema,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious skin adverse reactions (e.g., Stevens-Johnson syndrome, toxic epidermal necrolysis, and exfoliative dermatitis), which can be fatal.  Th...More",,DDInter1009
3,Kidney Diseases,Long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs) has resulted in renal papillary necrosis and other renal injury.  Renal toxicity has been seen in patients in whom renal prostaglandins h...More,,DDInter1009
3,Thrombosis,"Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal.  This risk may occur ...More",,DDInter1009
2,Anemia,"Anemia has been reported in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  This may be due to fluid retention, occult/gross blood loss, or an incompletely described effect on er...More",,DDInter1009
2,Heart Failure,"Fluid retention and edema have been observed in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs), including some topical formulations.  These drugs should be avoided in patients wit...More",,DDInter1009
2,Liver Diseases,"Borderline elevations of 1 or more liver tests may occur in up to 15% of patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  These laboratory abnormalities may progress, remain uncha...More",,DDInter1009
2,Hyperkalemia,"Increases in serum potassium concentration (including hyperkalemia) have been reported with use of nonsteroidal anti-inflammatory drugs (NSAIDs), even in some patients without renal impairment.  In pa...More",,DDInter1009
3,Peptic Ulcer,"The use of ketorolac is contraindicated in patients with active peptic ulcers, recent gastrointestinal bleeding or perforation, or a history of peptic ulcer disease or gastrointestinal bleeding.  Keto...More",,DDInter1010
3,Blood Platelet Disorders,"The use of ketorolac is considered by the manufacturer to be contraindicated in patients with suspected or confirmed cerebrovascular bleeding, hemorrhagic diathesis, incomplete hemostasis, or a high r...More",,DDInter1010
3,Kidney Diseases,The use of ketorolac is contraindicated in patients with advanced renal impairment or increased risk for renal failure due to volume depletion.  Ketorolac is a potent nonsteroidal anti-inflammatory dr...More,,DDInter1010
3,Asthma,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are contraindicated in patients with history of asthma, urticaria, or other allergic-type reactions after taking aspirin or other NSAIDs; severe, sometime...More",,DDInter1010
3,Water-Electrolyte Imbalance,Fluid retention and edema have been reported in association with the use of nonsteroidal anti-inflammatory drugs (NSAIDs).  Therapy with NSAIDs should be administered cautiously in patients with preex...More,,DDInter1010
3,Exanthema,"Nonsteroidal anti-inflammatory drugs (NSAIDs) can cause serious skin adverse reactions (e.g., Stevens-Johnson syndrome, toxic epidermal necrolysis, and exfoliative dermatitis), which can be fatal.  Th...More",,DDInter1010
3,Thrombosis,"Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal.  This risk may occur ...More",,DDInter1010
2,Anemia,"Anemia has been reported in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  This may be due to fluid retention, occult/gross blood loss, or an incompletely described effect on er...More",,DDInter1010
2,Heart Failure,"Fluid retention and edema have been observed in patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs), including some topical formulations.  These drugs should be avoided in patients wit...More",,DDInter1010
2,Liver Diseases,"Borderline elevations of 1 or more liver tests may occur in up to 15% of patients treated with nonsteroidal anti-inflammatory drugs (NSAIDs).  These laboratory abnormalities may progress, remain uncha...More",,DDInter1010
3,Asthma,"Nonsteroidal anti-inflammatory drugs (NSAIDs) are contraindicated in patients with history of asthma, urticaria, or other allergic-type reactions after taking aspirin or other NSAIDs; severe, sometime...More",,DDInter1011
2,Blood Platelet Disorders,"Topically applied nonsteroidal anti-inflammatory drugs (NSAIDs) are systemically absorbed, with the potential for producing rare but clinically significant systemic effects.  NSAIDs have been shown to...More",,DDInter1011
No matching records,,,,DDInter1012
3,Atrioventricular Block,The use of beta-adrenergic receptor blocking agents (aka beta-blockers) is contraindicated in patients with sinus bradyarrhythmia or heart block greater than the first degree (unless a functioning pac...More,,DDInter1013
3,"Shock, Cardiogenic",The use of beta-adrenergic receptor blocking agents (aka beta-blockers) is contraindicated in patients with hypotension or cardiogenic shock.  Due to their negative inotropic and chronotropic effects ...More,,DDInter1013
3,Heart Failure,Beta-adrenergic receptor blocking agents (aka beta-blockers) in general should not be used in patients with overt congestive heart failure (CHF).  Sympathetic stimulation may be important in maintaini...More,,DDInter1013
3,Diabetes Mellitus,"Beta-adrenergic receptor blocking agents (aka beta-blockers) may mask symptoms of hypoglycemia such as tremors, tachycardia and blood pressure changes.  In addition, the nonselective beta-blockers (e....More",,DDInter1013
3,Diseases requiring hemodialysis,"Therapy with beta-adrenergic receptor blocking agents (aka beta-blockers) should be administered cautiously in patients requiring hemodialysis.  When given after dialysis, hemodynamic stability should...More",,DDInter1013
3,Hypersensitivity,The use of beta-adrenergic receptor blocking agents (aka beta-blockers) in patients with a history of allergic reactions or anaphylaxis may be associated with heightened reactivity to culprit allergen...More,,DDInter1013
3,Myocardial Ischemia,"Heightened sensitivity to catecholamines may occur after prolonged use of beta-adrenergic receptor blocking agents (aka beta-blockers).  Exacerbation of angina, myocardial infarction and ventricular a...More",,DDInter1013
3,Peripheral Vascular Diseases,"Due to their negative inotropic and chronotropic effects on the heart, beta-adrenergic receptor blocking agents (aka beta-blockers) reduce cardiac output and may precipitate or aggravate symptoms of a...More",,DDInter1013
3,Liver Diseases,"Labetalol is primarily metabolized by the liver.  Although its elimination half-life is not altered in patients with impaired hepatic function, the oral bioavailability is greater due to decreased fir...More",,DDInter1013
3,Asthma,"Some beta-adrenergic receptor blocking agents (i.e., non-cardioselective beta-blockers) are contraindicated in patients with bronchial asthma or with a history of bronchial asthma, or severe chronic o...More",,DDInter1013
3,Depressive Disorder,Antiepileptic drugs can increase depression and suicidal thoughts or behaviors in patients receiving these drugs for any indication.  Patients should be monitored for the emergence or worsening of dep...More,,DDInter1014
2,Cardiovascular Diseases,"Dose dependent prolongation in PR interval has been observed with the use of lacosamide.  This drug should be used with caution in patients with known conduction abnormalities (AV block, sick sinus sy...More",,DDInter1014
2,Hepatic Insufficiency,Patients with mild to moderate hepatic impairment should be observed closely during lacosamide dose titration.  A maximum dose of 300 mg/day is recommended for these patients.  Lacosamide has not been...More,,DDInter1014
2,Kidney Diseases,A maximum dose of 300 mg/day of lacosamide is recommended for patients with severe renal impairment (CrCl <30 mL/min) and in patients with end stage renal disease.  Lacosamide is effectively removed f...More,,DDInter1014
3,Water-Electrolyte Imbalance,"Alkalinizing agents containing sodium can induce sodium and water retention and result in hypernatremia, hypokalemia, hyperosmolality, edema and aggravation of congestive heart failure.  Therapy with ...More",,DDInter1015
3,"Acidosis, Lactic",Lactate metabolism results in production of bicarbonate.  Bicarbonate generation is impaired in patients with compromised liver function and/or disorders that decrease tissue perfusion and increase an...More,,DDInter1015
2,Acid-Base Imbalance,Alkalinizing agents act as proton acceptors and/or dissociate to provide bicarbonate ions.  Elimination of bicarbonate is decreased in patients with renal impairment and can result in metabolic alkalo...More,,DDInter1015
No matching records,,,,DDInter1016
2,IMMUNE SUPPRESSION,"Probiotics, especially those containing lactobacillus, should be used with caution in immunosuppressed patients.",,DDInter1017
3,Galactosemias,"Since lactulose solution contains galactose, use is contraindicated in patients who require a low galactose diet.",,DDInter1018
3,Inflammatory Bowel Diseases,The use of laxatives is contraindicated in patients with inflammatory bowel disease.  Patients with inflammatory bowel disease may experience colonic perforation with use of stimulant laxatives.,,DDInter1018
3,Intestinal Obstruction,The use of laxatives is contraindicated in patients with intestinal obstruction disorders.  Patients with intestinal obstruction disorders may need their underlying condition treated to correct the co...More,,DDInter1018
2,Diabetes Mellitus,"Since lactulose solution contains galactose and lactose, it should be used cautiously in patients with diabetes.",,DDInter1018
3,Liver Diseases,"Hepatotoxicity including lactic acidosis, severe hepatomegaly with steatosis, fulminant hepatitis, and hepatic failure has been associated with the use of some nucleoside reverse transcriptase inhibit...More",,DDInter1019
3,Pancreatitis,"The reverse transcriptase inhibitors, didanosine (ddI), zalcitabine (ddC), stavudine (d4T) and lamivudine (3TC), may cause pancreatitis.  The incidence is generally low but is approximately 7% with dd...More",,DDInter1019
3,Kidney Diseases,Patients with clinically significant renal impairment may be at greater risk for toxicities and adverse effects from nucleoside reverse transcriptase inhibitors (NRTIs) due to decreased drug clearance...More,,DDInter1019
2,Hepatic Insufficiency,"In clinical trials, a reduced clearance of lanreotide was observed in subjects with moderate to severe hepatic impairment.  Patients with moderate to severe hepatic impairment should begin treatment w...More",,DDInter1021
2,Kidney Diseases,"Lanreotide has not been studied in patients with mild, moderate and severe renal failure.  It is recommended to start patients with moderate and severe renal impairment at a lower dose as clinically a...More",,DDInter1021
2,Hypothyroidism,Slight decreases in thyroid function have been seen during treatment with lanreotide.  Care should be taken when using this agent in patients with thyroid dysfunctions and it is recommended to monitor...More,,DDInter1021
2,Adrenal Insufficiency,Treatment with somatostatin analogs may suppress the pituitary hormones other than GH/IGF-1.  It is recommended to monitor pituitary function prior to initiation of therapy and periodically during tre...More,,DDInter1021
2,Bradycardia,Bradycardia has been reported with the use of somatostatin analogs.  It is recommended to carefully monitor patients with cardiac disorders for the development of bradycardia.  Dose adjustments of bet...More,,DDInter1021
2,Cholelithiasis,Somatostatin analogs may reduce gallbladder motility and lead to gallstones formation.  It is recommended to assess the gallbladder prior to starting therapy and periodically thereafter.,,DDInter1021
2,Diabetes Mellitus,Elevations in blood glucose levels have been reported with the use of somatostatin analogs.  Cushing's disease patients with poor glycemic control may be at a higher risk of developing severe hypergly...More,,DDInter1021
3,Clostridium Infections,"Published observational studies suggest that proton pump inhibitor (PPI) use may be associated with an increased risk of Clostridium difficile-associated diarrhea (CDAD), especially in hospitalized pa...More",,DDInter1022
2,Liver Diseases,"Lansoprazole is primarily metabolized by the liver.  Although the drug is generally well-tolerated, dosage adjustments with cautious titration should be considered in patients with severe hepatic impa...More",,DDInter1022
2,"Fractures, Bone","Various published observational studies have reported that PPI therapy may be associated with an increased risk for osteoporosis related fractures of the hip, wrist or spine.  The risk was increased i...More",,DDInter1022
2,"Hypomagnesemia 1, Intestinal","Symptomatic and asymptomatic hypomagnesemia has been reported rarely in patients treated with PPIs for at least 3 months, in most cases after a year of therapy.  Serious adverse events can include tet...More",,DDInter1022
3,Ileus,"The use of lanthanum carbonate is contraindicated in patients with bowel obstruction, including ileus and fecal impaction.",,DDInter1023
2,Gastrointestinal Diseases,"Serious cases of gastrointestinal obstruction and perforation have been reported in patients taking lanthanum, some requiring surgery and hospitalization.  Risk factors identified from post marketing ...More",,DDInter1023
3,Cardiomyopathies,Cardiomyopathy was observed in clinical trials of certain EGFR inhibitors.  Assess Left Ventricular Ejection Fraction (LVEF) by echocardiogram or multigated acquisition (MUGA) scan before initiation o...More,,DDInter1024
3,Stevens-Johnson Syndrome,"Cutaneous reactions, in some cases severe, have been reported with the use of EGFR inhibitors.  Monitor patients who develop dermatologic or soft tissue toxicities while receiving these agents for the...More",,DDInter1024
3,Lung Diseases,"The use of certain EGFR inhibitors has been associated with pulmonary toxicity.  Serious cases of interstitial lung disease (ILD), including fatal cases and interstitial pneumonitis or pulmonary fibro...More",,DDInter1024
3,Long QT Syndrome,"QT prolongation was observed in patients treated with certain EGFR inhibitors.  These agents should be administered with caution in patients with congenital long QTc syndrome, congestive heart failure...More",,DDInter1024
3,Liver Diseases,Lapatinib undergoes extensive metabolism in the liver.  Hepatotoxicity has been associated with the use of lapatinib and it may be severe and fatal.  The hepatotoxicity may occur days to several month...More,,DDInter1024
2,Heart Failure,"Decreases in left ventricular ejection fraction (LVEF) have been reported with agents that block HER2 activity.  Patients who have received prior anthracyclines, those who received anthracycline after...More",,DDInter1024
2,Thrombocytopenia,Thrombocytopenia has been reported with the use of agents that block HER2 activity.  Monitor platelet counts prior to initiation of therapy and prior to each dose.  If appropriate modify the dose acco...More,,DDInter1024
2,Kidney Diseases,Lapatinib pharmacokinetics have not been specifically studied in patients with renal impairment or in patients undergoing hemodialysis.  Close monitoring is recommended.,,DDInter1024
3,Heart Diseases,Patients with compromised respiratory function or acute respiratory disease may be at risk of serious acute exacerbation of their respiratory compromise due to infusion reactions during laronidase the...More,,DDInter1025
2,Liver Failure,"Forty- five percent of the patients receiving larotrectinib had increased hepatic parameters, including Grade 3 increased AST or ALT in 6% of patients.  Monitor liver tests, including ALT and AST, eve...More",,DDInter1026
3,Liver Diseases,The use of lasmiditan is not recommended in patients with severe hepatic impairment.  No dosage adjustment is needed for patients with mild or moderate hepatic impairment.,,DDInter1027
2,Respiratory Insufficiency,"The use of lasmiditan may cause central nervous system (CNS) depression, including dizziness and sedation.  Because of the potential for lasmiditan to cause sedation, other cognitive or neuropsychiatr...More",,DDInter1027
2,Substance-Related Disorders,The use of lasmiditan has the potential to cause abuse.  It is recommended to evaluate patients for risk of drug abuse and observe them for signs of lasmiditan misuse or abuse.  Drug dependence was no...More,,DDInter1027
2,Serotonin Syndrome,The use of lasmiditan has been associated with reactions consistent with serotonin syndrome.  Serotonin syndrome may also occur with lasmiditan during coadministration with serotonergic drugs.  The on...More,,DDInter1027
No matching records,,,,DDInter1028
3,Herpes Simplex,Latanoprost should be used with caution in patients with a history of herpetic keratitis and it should be avoided in cases of active simplex keratitis because of the risk of reactivation and inflammat...More,,DDInter1029
2,Lung Diseases,"Latanoprost should be used with caution in patients with respiratory disorders as there have been reported post marketing cases of asthma and exacerbation of asthma, and dyspnea.",,DDInter1029
2,Macular Edema,"Macular edema, including cystoid macular edema, has been reported during treatment with ophthalmic prostaglandin analogues.  Most cases occurred in patients with aphakia, pseudophakia with a torn post...More",,DDInter1029
2,Uveitis,"Bimatoprost, latanoprost, and travoprost are synthetic prostaglandin analogues.  Theoretically, these agents may mimic endogenous prostaglandins and mediate ocular inflammatory responses.  In clinical...More",,DDInter1029
2,Liver Diseases,"Prostaglandin F2-alpha analogues are hydrolyzed by esterases in the cornea to their corresponding active free acid form, which is absorbed systemically and metabolized by the liver via fatty acid beta...More",,DDInter1029
No matching records,,,,DDInter1030
No matching records,,,,DDInter1031
No matching records,,,,DDInter1032
3,IMMUNE SUPPRESSION,"Pancytopenia, agranulocytosis and thrombocytopenia have been reported in patients receiving leflunomide.  Leflunomide is an immunomodulatory agent with antiproliferative activity.  The use of leflunom...More",,DDInter1033
3,Liver Diseases,"Severe liver injury, including fatal liver failure, has been reported in patients treated with leflunomide.  Leflunomide is contraindicated in patients with severe hepatic impairment.  Leflunomide has...More",,DDInter1033
3,Peripheral Nervous System Diseases,"Peripheral neuropathy has been reported during leflunomide therapy.  Patients older than 60 years, patients taking concomitant neurotoxic medications, and diabetics may be at an increased risk for per...More",,DDInter1033
3,Lung Diseases,"The use of leflunomide has been associated with pulmonary toxicity.  Serious cases of interstitial lung disease (ILD), and worsening of preexisting interstitial lung disease have been reported.  Cauti...More",,DDInter1033
3,Kidney Diseases,The active metabolite of leflunomide is elevated in the plasma of patients with renal impairment.  Therapy with leflunomide should be administered cautiously in patients with renal insufficiency.,,DDInter1033
3,Tuberculosis,"Patients should be evaluated for active and latent tuberculosis (TB) infection prior to leflunomide treatment.  Leflunomide has not been studied in patients with a positive tuberculosis screen, and th...More",,DDInter1033
2,Hypertension,Hypertension was reported as an adverse reaction in patients on leflunomide.  Blood pressure should be monitored during treatment and periodically thereafter as this agent can increase the blood press...More,,DDInter1033
2,Alcoholism,Patients treated with lemborexant should not consume alcohol as it can increase drowsiness and also the incidence of adverse effects.,,DDInter1034
2,"Pulmonary Disease, Chronic Obstructive",Lemborexant has not been studied in patients with moderate to severe obstructive sleep apnea (OSA) or in patients with chronic obstructive pulmonary disease.  Caution is advised if prescribing to pati...More,,DDInter1034
2,Depressive Disorder,Worsening of depression and suicidal thoughts and actions have been reported with the use of lemborexant.  Caution is advised in patients with depression.  Protective measures may be required in patie...More,,DDInter1034
2,Liver Failure,Lemborexant has not been studied in patients with severe liver dysfunction (Child-Pugh Class C).  Its use is not recommended in these patients.,,DDInter1034
2,Kidney Diseases,"Lenalidomide is primarily excreted unchanged by the kidney.  Adjustments to the starting dose are recommended in patients with moderate (CrCl 30-60 mL/min) or severe renal impairment (<30 mL/min), and...More",,DDInter1035
2,Thromboembolism,Venous thromboembolic events (deep venous thrombosis and pulmonary embolism) and arterial thromboses are increased in patients using lenalidomide.  Patients with known risk factors such as prior throm...More,,DDInter1035
2,Anemia,"Some miscellaneous antineoplastics such as azacitidine and lenalidomide cause anemia, neutropenia, and thrombocytopenia.  Patients with these preexisting conditions should be monitored carefully.  Mon...More",,DDInter1035
2,Thromboembolism,"In clinical trials, arterial thromboembolic events were reported in patients treated with lenvatinib.  It is recommended to discontinue lenvatinib following an arterial thrombotic event.  Care should ...More",,DDInter1036
2,Hemorrhage,"Hemorrhagic events, including fatal hemorrhagic events have been reported with the use of lenvatinib.  It is recommended to withhold treatment and to either resume at a reduced dose or discontinue tre...More",,DDInter1036
2,Heart Failure,"Cardiac dysfunctions, defined as decreased left or right ventricular function, cardiac failure, or pulmonary edema have been reported with the use of lenvatinib.  It is recommended to monitor patients...More",,DDInter1036
2,Diarrhea,"Cases of diarrhea have been reported with the use of lenvatinib, sometimes leading to interruption of therapy.  It is recommended to initiate prompt medical management for the development of diarrhea ...More",,DDInter1036
2,Peptic Ulcer Perforation,Cases of gastrointestinal perforation or fistula have been reported with the use of lenvatinib.  Discontinue the use of lenvatinib in patients who develop gastrointestinal perforation or life-threaten...More,,DDInter1036
2,Hepatic Insufficiency,"Hepatic failure, including fatal events have been reported with the use of lenvatinib.  No dose adjustment is recommended in patients with mild or moderate hepatic impairment.  Dose adjustment is need...More",,DDInter1036
2,Hypertension,The use of lenvatinib may cause hypertension.  It is recommended to control blood pressure prior to treatment with lenvatinib and monitor blood pressure regularly during treatment as medically indicat...More,,DDInter1036
2,Hypocalcemia,Cases of hypocalcemia have been reported with the use of lenvatinib.  It is recommended to monitor blood calcium levels at least monthly and replace calcium as necessary during treatment and to interr...More,,DDInter1036
2,Hypothyroidism,"The use of lenvatinib impairs exogenous thyroid suppression and may cause hypothyroidism.  It is recommended to monitor thyroid function before initiation of, and at least monthly throughout, treatmen...More",,DDInter1036
2,Proteinuria,"Proteinuria has been reported with the use of lenvatinib.  It is recommended to monitor for proteinuria before initiation of, and periodically throughout treatment.  Withhold lenvatinib for >=2 grams ...More",,DDInter1036
No matching records,,,,DDInter1037
No matching records,,,,DDInter1038
3,Liver Diseases,The use of letermovir is not recommended for patients with severe (Child-Pugh Class C) hepatic impairment.  No dosage adjustment of letermovir is required for patients with mild (Child-Pugh Class A) o...More,,DDInter1039
2,Kidney Diseases,Hydroxypropyl betadex present in the intravenous letermovir formulation is mainly eliminated by glomerular filtration.  Decreased elimination of hydroxypropyl betadex has been reported in the literatu...More,,DDInter1039
3,Liver Diseases,Letrozole is extensively metabolized by the liver.  The pharmacokinetic disposition of letrozole has not been assessed in patients with severe hepatic impairment.  No dosage modification is recommende...More,,DDInter1040
2,Hypercholesterolemia,In an adjuvant clinical trial hypercholesterolemia was reported in 52.3% of letrozole patients and 28.6% of tamoxifen patients.  CTC grade 3-4 hypercholesterolemia was reported in 0.4% of letrozole pa...More,,DDInter1040
2,Osteoporosis,"Use of letrozole tablets may cause decreases in bone mineral density (BMD).  Caution should exercise when prescribing this agent to patients with a risk of fractures, such as the elderly and patients ...More",,DDInter1040
3,Anemia,The use of leucovorin is inappropriate therapy for patients with undiagnosed anemia.  Leucovorin can obscure the diagnosis of pernicious anemia by alleviating the hematologic conditions and allowing p...More,,DDInter1041
3,Peptic Ulcer,"Leucovorin enhances the toxicity of 5-fluorouracil.  When these drugs are administered concurrently in the palliative therapy of advanced colorectal cancer, gastrointestinal toxicities, particularly s...More",,DDInter1041
2,Kidney Diseases,"Leucovorin is excreted by the kidney and the risk of toxic reactions to the drug may be greater in patients with impaired renal function.  Leucovorin should be used cautiously on these patients, and c...More",,DDInter1041
2,Seizures,"Seizures have occurred rarely during administration of leucovorin, primarily in patients receiving high dose leucovorin or leucovorin in combination with 5-fluorouracil, or in patients with a history ...More",,DDInter1041
2,Cardiovascular Diseases,"Increased risk of developing myocardial infarction, sudden cardiac death and stroke has been reported in association with the use of GnRH agonists such as leuprolide, and triptorelin.  Cardiovascular ...More",,DDInter1042
2,Diabetes Mellitus,Hyperglycemia and an increased risk of developing diabetes have been reported in men receiving GnRH agonists such as leuprolide and triptorelin.  Caution is advised in patients with diabetes as treatm...More,,DDInter1042
2,Long QT Syndrome,"Androgen deprivation therapy may prolong the QT/QTc interval.  Health care providers should consider if benefits of therapy outweigh the potential risks in patients with congenital long QT syndrome, c...More",,DDInter1042
2,"Bone Diseases, Metabolic",Decreased bone density has been reported in men who have had orchiectomy or who have been treated with a GnRH agonist analog as leuprolide.  It can be anticipated that long periods of medical castrati...More,,DDInter1042
2,Seizures,"Convulsions have been observed in patients taking leuprolide, including patients who have a history of seizures, epilepsy, or brain disorders, and in those taking medications associated with convulsio...More",,DDInter1042
No matching records,,,,DDInter1043
No matching records,,,,DDInter1044
3,"Shock, Cardiogenic","In general, calcium channel blockers (CCBs) should not be used in patients with hypotension (systolic pressure < 90 mm Hg) or cardiogenic shock.  Due to potential negative inotropic and peripheral vas...More",,DDInter1045
3,Coronary Artery Disease,"Increased frequency, duration, and/or severity of angina, as well as acute myocardial infarction, have rarely developed during initiation or dosage increase of calcium channel blockers (CCBs), particu...More",,DDInter1045
3,Liver Diseases,"Calcium channel blockers (CCBs) are extensively metabolized by the liver.  The half-lives of CCBs may be prolonged substantially in patients with severe hepatic impairment, with the potential for sign...More",,DDInter1045
No matching records,,,,DDInter1046
No matching records,,,,DDInter1047
No matching records,,,,DDInter1048
No matching records,,,,DDInter1049
3,Asthma,Ophthalmic beta-adrenergic receptor blocking agents (aka beta-blockers) in general should not be used in patients with a current or past history of bronchial asthma or chronic obstructive pulmonary di...More,,DDInter1050
